SampleID	id_manifest	location	week	T	PMI	FDD	location_week	pig	rep 	snow_depth
S166	P2E2-21	Exterior	week_21	-1.5	21	1420.1	Exterior_week_21	Pig2	2	15
S167	P2E2-22	Exterior	week_22	1.8	22	1441.4	Exterior_week_22	Pig2	2	10
S168	P2E2-23	Exterior	week_23	7.8	23	1436.3	Exterior_week_23	Pig2	2	0
S170	P2E2-3	Exterior	week_3	5.3	3	80.4	Exterior_week_3	Pig2	2	1
S172	P2E2-5	Exterior	week_5	-6.3	5	228.9	Exterior_week_5	Pig2	2	40
S173	P2E2-6	Exterior	week_6	-6.9	6	282.7	Exterior_week_6	Pig2	2	30
S174	P2E2-7	Exterior	week_7	-9.3	7	452.4	Exterior_week_7	Pig2	2	30
S175	P2E2-8	Exterior	week_8	-7.6	8	596.8	Exterior_week_8	Pig2	2	30
S176	P2E2-9	Exterior	week_9	-9	9	661.1	Exterior_week_9	Pig2	2	80
S186	P2E3-1	Exterior	week_1	7.9	1	22.9	Exterior_week_1	Pig2	3	2
S177	P2E3-10	Exterior	week_10	-11	10	794.3	Exterior_week_10	Pig2	3	80
S178	P2E3-12	Exterior	week_12	-4.3	12	991.2	Exterior_week_12	Pig2	3	90
S179	P2E3-13	Exterior	week_13	-5.3	13	1099.9	Exterior_week_13	Pig2	3	100
S180	P2E3-14	Exterior	week_14	-3.2	14	1208.7	Exterior_week_14	Pig2	3	100
S181	P2E3-15	Exterior	week_15	-5.6	15	1316.2	Exterior_week_15	Pig2	3	130
S182	P2E3-16	Exterior	week_16	-4.5	16	1377.7	Exterior_week_16	Pig2	3	130
S183	P2E3-17	Exterior	week_17	-5	17	1441	Exterior_week_17	Pig2	3	130
S184	P2E3-18	Exterior	week_18	-3	18	1421.2	Exterior_week_18	Pig2	3	70
S185	P2E3-19	Exterior	week_19	0	19	1437.5	Exterior_week_19	Pig2	3	20
S191	P2E3-2	Exterior	week_2	6.5	2	51.5	Exterior_week_2	Pig2	3	2
S187	P2E3-20	Exterior	week_20	3.1	20	1430.6	Exterior_week_20	Pig2	3	0
S188	P2E3-21	Exterior	week_21	-1.5	21	1420.1	Exterior_week_21	Pig2	3	15
S189	P2E3-22	Exterior	week_22	1.8	22	1441.4	Exterior_week_22	Pig2	3	10
S190	P2E3-23	Exterior	week_23	7.8	23	1436.3	Exterior_week_23	Pig2	3	0
S193	P2E3-4	Exterior	week_4	4.6	4	129.7	Exterior_week_4	Pig2	3	3
S194	P2E3-5	Exterior	week_5	-6.3	5	228.9	Exterior_week_5	Pig2	3	40
S195	P2E3-6	Exterior	week_6	-6.9	6	282.7	Exterior_week_6	Pig2	3	30
